configuration_number,vectorizer_param,model_param,f1
1,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7560114726608932
2,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7560569759296994
3,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7559970233241274
4,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7559782149660925
5,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7560114726608932
6,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7560569759296994
7,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7559970233241274
8,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7559782149660925
9,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7557840903134516
10,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7558081764901659
11,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.001},0.7557733212254873
12,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 100, 'penalty': 'l2', 'random_state': 42, 'tol': 0.0001},0.7557947434014933
13,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.001},0.7557840903134516
14,{'binary': True, 'max_df': 1.0, 'max_features': 1500, 'min_df': 1, 'ngram_range': (1, 1), 'norm': 'l1', 'smooth_idf': True, 'stop_words': None, 'sublinear_tf': False, 'use_idf': True},{'C': 10, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': False, 'max_iter': 300, 'penalty': 'l1', 'random_state': 42, 'tol': 0.0001},0.7558081764901659
